,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
103,Lithuania,1054175.0,9053.0,0.0,0.8587758199539924,LTU,2722291.0,55.1694,23.8813,Europe,387238.1754926274,1048704.0,9011.0,5471.0,42.0,1013008.0,8817.0,41167.0,236.0
104,Luxembourg,233966.0,1058.0,0.0,0.4522024567672226,LUX,625976.0,49.8153,6.1296,Europe,373761.93336485745,229311.0,1054.0,4655.0,4.0,208223.0,1025.0,25743.0,33.0
105,Madagascar,64121.0,1391.0,0.0,2.1693360989379453,MDG,27691019.0,-18.766947,46.869107,Africa,2315.588314030625,64089.0,1390.0,32.0,1.0,64009.0,1384.0,112.0,7.0
106,Malawi,85747.0,2633.0,0.0,3.0706613642459795,MWI,19129955.0,-13.2543,34.3015,Africa,4482.341960553488,85727.0,2631.0,20.0,2.0,85608.0,2626.0,139.0,7.0
107,Malaysia,4427067.0,35491.0,0.0,0.8016820165585928,MYS,32365998.0,4.210484,101.975766,Asia,136781.41486630507,4382402.0,35409.0,44665.0,82.0,4122004.0,34751.0,305063.0,740.0
108,Maldives,178883.0,298.0,0.0,0.1665893349284169,MDV,540542.0,3.2028,73.2207,Asia,330932.6564818275,178320.0,298.0,563.0,0.0,174658.0,297.0,4225.0,1.0
109,Mali,30727.0,731.0,0.0,2.379015198359749,MLI,20250834.0,17.570692,-3.996166,Africa,1517.3202249349335,30651.0,729.0,76.0,2.0,30470.0,727.0,257.0,4.0
110,Malta,90399.0,687.0,0.0,0.759964158895563,MLT,441539.0,35.9375,14.3754,Europe,204736.16147158007,88558.0,673.0,1841.0,14.0,76749.0,630.0,13650.0,57.0
111,Marshall Islands,15.0,0.0,0.0,0.0,MHL,58413.0,7.1315,171.1845,Oceania,256.7921524318217,14.0,0.0,1.0,0.0,7.0,0.0,8.0,0.0
112,Mauritania,58683.0,982.0,0.0,1.6733977472181039,MRT,4649660.0,21.0079,-10.9408,Africa,12620.922820163196,58681.0,982.0,2.0,0.0,58666.0,982.0,17.0,0.0
113,Mauritius,220344.0,990.0,0.0,0.4492974621500926,MUS,1271767.0,-20.348404,57.552152,Africa,173258.15184699712,218229.0,990.0,2115.0,0.0,204200.0,968.0,16144.0,22.0
114,Mexico,5733428.0,324120.0,0.0,5.653162471038269,MEX,127792286.0,23.6345,-102.5528,North America,44865.211973749334,5726668.0,323938.0,6760.0,182.0,5647041.0,322634.0,86387.0,1486.0
115,Micronesia,1.0,0.0,0.0,0.0,FSM,113815.0,7.4256,150.5508,Oceania,8.786188112287483,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
116,Moldova,516986.0,11489.0,0.0,2.22230389217503,MDA,4027690.0,47.4116,28.3699,Europe,128357.9421454978,516316.0,11481.0,670.0,8.0,512386.0,11415.0,4600.0,74.0
117,Monaco,11604.0,56.0,0.0,0.48259220958290244,MCO,39244.0,43.7333,7.4167,Europe,295688.5128936907,11341.0,56.0,263.0,0.0,10530.0,54.0,1074.0,2.0
118,Mongolia,920361.0,2177.0,0.0,0.23653761947757454,MNG,3278292.0,46.8625,103.8467,Asia,280744.0581863971,920119.0,2177.0,242.0,0.0,917732.0,2177.0,2629.0,0.0
119,Montenegro,234619.0,2713.0,0.0,1.156342836684156,MNE,628062.0,42.708678,19.37439,Europe,373560.2536055358,234137.0,2709.0,482.0,4.0,232727.0,2698.0,1892.0,15.0
120,Morocco,1164670.0,16065.0,0.0,1.3793606772733906,MAR,36910558.0,31.7917,-7.0926,Africa,31553.844295716146,1164345.0,16062.0,325.0,3.0,1162923.0,16057.0,1747.0,8.0
121,Mozambique,225358.0,2201.0,0.0,0.9766682345423726,MOZ,31255435.0,-18.665695,35.529562,Africa,7210.202001667871,225323.0,2200.0,35.0,1.0,225237.0,2200.0,121.0,1.0
122,Namibia,158332.0,4023.0,0.0,2.5408635020084382,NAM,2540916.0,-22.9576,18.4904,Africa,62312.96115259221,158074.0,4022.0,258.0,1.0,157576.0,4018.0,756.0,5.0
123,Nepal,978732.0,11951.0,0.0,1.2210697106051505,NPL,29136808.0,28.1667,84.25,Asia,33590.9135963006,978654.0,11951.0,78.0,0.0,978317.0,11951.0,415.0,0.0
124,Netherlands,8215824.0,22832.0,0.0,0.27790273988342495,NLD,17134873.0,52.1326,5.2913,Europe,479479.71368098265,8194946.0,22780.0,20878.0,52.0,7904943.0,22508.0,310881.0,324.0
125,New Zealand,888898.0,636.0,0.0,0.07154926662001715,NZL,4822233.0,-40.9006,174.886,Oceania,184333.27464682856,828808.0,554.0,60090.0,82.0,599002.0,223.0,289896.0,413.0
126,Nicaragua,18491.0,233.0,0.0,1.2600724676869828,NIC,6624554.0,12.865416,-85.207229,North America,2791.282250850397,18491.0,232.0,0.0,1.0,18365.0,229.0,126.0,4.0
127,Niger,8914.0,309.0,0.0,3.4664572582454567,NER,24206636.0,17.607789,8.081666,Africa,368.2461288714384,8871.0,308.0,43.0,1.0,8801.0,308.0,113.0,1.0
128,Nigeria,255685.0,3143.0,0.0,1.2292469249271565,NGA,206139587.0,9.082,8.6753,Africa,1240.3488515769657,255648.0,3143.0,37.0,0.0,255296.0,3142.0,389.0,1.0
129,North Macedonia,309062.0,9271.0,0.0,2.999721738680265,MKD,2083380.0,41.6086,21.7453,Europe,148346.43703981032,308516.0,9261.0,546.0,10.0,304878.0,9203.0,4184.0,68.0
